County,State,Latitude,Longitude 
Los Angeles,California,34.3209,-118.2247
Cook,Illinois,41.8401,-87.8168
Harris,Texas,29.8577,-95.3936
Maricopa,Arizona,33.349,-112.4915
San Diego,California,33.0343,-116.735
Orange,California,33.7031,-117.7609
Kings,New York,40.6395,-73.9385
Miami-Dade,Florida,25.615,-80.5623
Dallas,Texas,32.7666,-96.7778
Riverside,California,33.7436,-115.9938
Queens,New York,40.7023,-73.8203
King,Washington,47.4902,-121.8052
Clark,Nevada,36.2152,-115.0135
San Bernardino,California,34.8414,-116.1784
Tarrant,Texas,32.7719,-97.2911
Bexar,Texas,29.4489,-98.52
Broward,Florida,26.1523,-80.4871
Santa Clara,California,37.2318,-121.6951
Wayne,Michigan,42.2819,-83.2822
Alameda,California,37.6469,-121.8888
New York,New York,40.7785,-73.9674
Middlesex,Massachusetts,42.4856,-71.3918
Philadelphia,Pennsylvania,40.0077,-75.1339
Sacramento,California,38.4493,-121.3443
Suffolk,New York,40.8686,-72.8448
Palm Beach,Florida,26.6476,-80.4655
Bronx,New York,40.8501,-73.866
Hillsborough,Florida,27.9291,-82.3091
Orange,Florida,28.5145,-81.3236
Nassau,New York,40.7328,-73.5865
Franklin,Ohio,39.9695,-83.0093
Oakland,Michigan,42.6604,-83.3858
Hennepin,Minnesota,45.0045,-93.477
Travis,Texas,30.3344,-97.782
Cuyahoga,Ohio,41.4243,-81.6586
Allegheny,Pennsylvania,40.4688,-79.9812
Salt Lake,Utah,40.6673,-111.9236
Contra Costa,California,37.9192,-121.9277
Fairfax,Virginia,38.8368,-77.277
Wake,North Carolina,35.7903,-78.6503
Mecklenburg,North Carolina,35.2467,-80.8328
Montgomery,Maryland,39.1363,-77.2042
Fulton,Georgia,33.7903,-84.467
Collin,Texas,33.188,-96.5724
Pima,Arizona,32.0974,-111.7899
Honolulu,Hawaii,21.5008,-158.1053
Fresno,California,36.7582,-119.6493
St. Louis,Missouri,38.6407,-90.4434
Westchester,New York,41.1624,-73.7561
Duval,Florida,30.3316,-81.6708
Marion,Indiana,39.7817,-86.1385
Pinellas,Florida,27.92,-82.7256
Prince George's,Maryland,38.8295,-76.8473
Fairfield,Connecticut,41.271,-73.3893
Bergen,New Jersey,40.9597,-74.0742
Erie,New York,42.764,-78.7323
Gwinnett,Georgia,33.9617,-84.0236
Milwaukee,Wisconsin,43.0072,-87.9669
DuPage,Illinois,41.852,-88.0856
Shelby,Tennessee,35.1842,-89.894
Pierce,Washington,47.0241,-122.1046
Kern,California,35.3426,-118.7301
Hartford,Connecticut,41.8064,-72.7329
Denton,Texas,33.2055,-97.1168
Macomb,Michigan,42.6957,-82.9323
San Francisco,California,37.7558,-122.4449
Hidalgo,Texas,26.3969,-98.1812
New Haven,Connecticut,41.4106,-72.9321
El Paso,Texas,31.7686,-106.2348
Middlesex,New Jersey,40.4392,-74.4117
Worcester,Massachusetts,42.3514,-71.9077
Essex,New Jersey,40.7872,-74.247
Montgomery,Pennsylvania,40.2108,-75.3673
Baltimore,Maryland,39.4627,-76.6393
Ventura,California,34.4561,-119.0836
Hamilton,Ohio,39.1955,-84.5428
Snohomish,Washington,48.0475,-121.6975
Multnomah,Oregon,45.5468,-122.4148
Fort Bend,Texas,29.5275,-95.7709
Essex,Massachusetts,42.6732,-70.952
Suffolk,Massachusetts,42.3333,-71.0719
Oklahoma,Oklahoma,35.5515,-97.4072
Jefferson,Kentucky,38.1872,-85.6591
San Joaquin,California,37.9348,-121.2714
Cobb,Georgia,33.9415,-84.5767
San Mateo,California,37.4229,-122.329
DeKalb,Georgia,33.7715,-84.2264
Monroe,New York,43.1464,-77.6961
Lee,Florida,26.5779,-81.8337
El Paso,Colorado,38.8321,-104.5254
Norfolk,Massachusetts,42.1605,-71.2115
Lake,Illinois,42.3233,-88.0037
Hudson,New Jersey,40.7371,-74.0779
Jackson,Missouri,39.0085,-94.3461
Polk,Florida,27.9489,-81.6976
Davidson,Tennessee,36.1695,-86.7847
Denver,Colorado,39.762,-104.8758
Will,Illinois,41.445,-87.9786
District of Columbia,District of Columbia,38.9047,-77.0163
Bernalillo,New Mexico,35.0514,-106.6702
Jefferson,Alabama,33.5543,-86.8964
Tulsa,Oklahoma,36.1211,-95.9415
Providence,Rhode Island,41.8721,-71.58
Kent,Michigan,43.0322,-85.5493
Arapahoe,Colorado,39.6498,-104.3393
Utah,Utah,40.1199,-111.6703
Bucks,Pennsylvania,40.337,-75.1069
Monmouth,New Jersey,40.2603,-74.2213
Ocean,New Jersey,39.8855,-74.2813
Montgomery,Texas,30.3002,-95.503
Johnson,Kansas,38.8838,-94.8223
Brevard,Florida,28.2937,-80.7323
Washington,Oregon,45.56,-123.0984
Baltimore,Maryland,39.3051,-76.6144
Williamson,Texas,30.6475,-97.6004
Anne Arundel,Maryland,39.0065,-76.6051
Jefferson,Colorado,39.5864,-105.2505
Douglas,Nebraska,41.2953,-96.1543
Bristol,Massachusetts,41.7972,-71.1144
Delaware,Pennsylvania,39.9167,-75.3991
Union,New Jersey,40.6601,-74.3087
New Castle,Delaware,39.5768,-75.6527
Dane,Wisconsin,43.0673,-89.4181
Pasco,Florida,28.3091,-82.3932
Stanislaus,California,37.5591,-120.9977
Lancaster,Pennsylvania,40.0424,-76.2477
Ramsey,Minnesota,45.0171,-93.0996
Volusia,Florida,29.0584,-81.1819
Summit,Ohio,41.126,-81.5322
Guilford,North Carolina,36.0795,-79.7889
Montgomery,Ohio,39.7547,-84.2907
Chester,Pennsylvania,39.9731,-75.7484
Spokane,Washington,47.6207,-117.404
Plymouth,Massachusetts,41.9512,-70.8114
Camden,New Jersey,39.8035,-74.9597
Passaic,New Jersey,41.0343,-74.3008
Sedgwick,Kansas,37.6848,-97.461
Greenville,South Carolina,34.8941,-82.3706
Kane,Illinois,41.9388,-88.4286
Adams,Colorado,39.8736,-104.3379
Morris,New Jersey,40.862,-74.5445
Clark,Washington,45.7792,-122.4825
Lake,Indiana,41.4167,-87.3821
Richmond,New York,40.5808,-74.1524
Sonoma,California,38.5289,-122.8881
Polk,Iowa,41.6854,-93.5734
Ada,Idaho,43.4511,-116.2412
Washoe,Nevada,40.6655,-119.6643
Prince William,Virginia,38.7029,-77.4809
Knox,Tennessee,35.9932,-83.9371
Onondaga,New York,43.0058,-76.1946
Tulare,California,36.2202,-118.8005
Seminole,Florida,28.717,-81.2363
Hampden,Massachusetts,42.1351,-72.6316
Burlington,New Jersey,39.8777,-74.6681
Virginia Beach,Virginia,36.7335,-76.0435
East Baton Rouge,Louisiana,30.5383,-91.0956
York,Pennsylvania,39.92,-76.7265
Solano,California,38.27,-121.9329
Santa Barbara,California,34.6729,-120.0169
Jefferson,Louisiana,29.7872,-90.1274
Monterey,California,36.2171,-121.2388
Dakota,Minnesota,44.6719,-93.0654
Lucas,Ohio,41.6197,-83.6588
Sarasota,Florida,27.1845,-82.3315
Berks,Pennsylvania,40.4163,-75.926
Pinal,Arizona,32.9044,-111.3448
Cameron,Texas,26.1333,-97.5182
Hillsborough,New Hampshire,42.9153,-71.7161
Clackamas,Oregon,45.188,-122.2209
Richland,South Carolina,34.0218,-80.9031
Mobile,Alabama,30.7872,-88.2058
Loudoun,Virginia,39.0907,-77.6357
Genesee,Michigan,43.0217,-83.7067
Waukesha,Wisconsin,43.0182,-88.3045
Charleston,South Carolina,32.8346,-79.9531
St. Charles,Missouri,38.782,-90.6749
Placer,California,39.0634,-120.7177
Orange,New York,41.4022,-74.3056
Pulaski,Arkansas,34.77,-92.312
Manatee,Florida,27.4719,-82.3153
Butler,Ohio,39.4386,-84.5756
Mercer,New Jersey,40.2834,-74.7018
Orleans,Louisiana,30.0687,-89.9288
Madison,Alabama,34.7631,-86.5502
Allen,Indiana,41.0909,-85.0666
Forsyth,North Carolina,36.1306,-80.2563
Lane,Oregon,43.9386,-122.848
Osceola,Florida,28.0627,-81.1494
Lake,Florida,28.7615,-81.7113
Stark,Ohio,40.8139,-81.3656
Collier,Florida,26.1108,-81.3475
Lehigh,Pennsylvania,40.6127,-75.5923
Washtenaw,Michigan,42.2532,-83.8388
Marion,Florida,29.2102,-82.0567
Brazoria,Texas,29.1897,-95.4521
Bell,Texas,31.0373,-97.4788
Hamilton,Tennessee,35.1808,-85.1648
Anoka,Minnesota,45.2733,-93.2465
Chesterfield,Virginia,37.3785,-77.587
Davis,Utah,40.99,-112.1115
Westmoreland,Pennsylvania,40.3109,-79.4668
Larimer,Colorado,40.6664,-105.4612
Nueces,Texas,27.7254,-97.6134
Douglas,Colorado,39.3297,-104.9296
Galveston,Texas,29.3945,-94.9635
Horry,South Carolina,33.9214,-78.9966
Marion,Oregon,44.9033,-122.5845
Somerset,New Jersey,40.5635,-74.6163
Hamilton,Indiana,40.0725,-86.052
Rockland,New York,41.1525,-74.0242
Rutherford,Tennessee,35.8427,-86.4168
Cumberland,North Carolina,35.0487,-78.8277
Henrico,Virginia,37.538,-77.4058
Howard,Maryland,39.2507,-76.9312
Boulder,Colorado,40.0925,-105.3577
Luzerne,Pennsylvania,41.177,-75.9892
St. Lucie,Florida,27.3773,-80.472
